Interval=	0.001 s
ExcelDateTime=	4.5862649149055105e+004	24/07/2025 15:34:46.478361
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	1.00 L/s.s
UnitName=	*	L/min	*	cmH2O	*
TopValue=	*	175.24	*	3526.16	*
BottomValue=	*	-179.51	*	-3491.39	*
0	1.665156	33.90625	0.5695313	11.98642	0.00883171
0.001	1.908281	33.90625	0.665625	12.04124	0.009396815
0.002	2.445625	33.90625	0.7171875	12.01383	0.009961919
0.003	2.827734	33.90625	0.69375	12.09607	0.01052702
0.004	2.924219	33.90625	0.60625	12.09607	0.01109213
0.005	1.978516	33.90625	0.4476563	12.04124	0.01165723
0.006	1.639922	33.90625	0.275	12.04124	0.01222234
0.007	1.703984	33.90625	0.1398438	11.98642	0.01278744
0.008	3.169609	33.90625	0.05546875	11.93159	0.01335254
0.009	3.197109	33.90625	0.01171875	11.90418	0.01391765
0.01	3.197969	33.90625	-0.01953125	11.93159	0.01448275
0.011	3.198672	33.90625	-0.02734375	12.01383	0.01504786
0.012	3.198203	33.90625	-0.040625	11.959	0.01561296
0.013	3.198672	33.90625	-0.04375	11.84935	0.01617807
0.014	3.198984	33.90625	-0.03046875	11.79453	0.01674317
0.015	3.198906	33.90625	-0.01875	11.71229	0.01730827
0.016	3.198516	33.90625	-0.02890625	11.87677	0.01787338
0.017	3.199063	33.90625	0.065625	11.71229	0.01843848
0.018	3.199141	33.90625	0.2257813	11.68488	0.01900359
0.019	3.198984	33.90625	0.4117188	11.76712	0.01956869
0.02	3.199063	33.90625	0.5648437	11.87677	0.02013379
0.021	3.199063	33.90625	0.6695313	11.959	0.0206989
0.022	3.198516	33.90625	0.7054688	11.90418	0.021264
0.023	3.199141	33.90625	0.6898438	11.90418	0.02182911
0.024	3.198984	33.90625	0.5953125	11.959	0.02239421
0.025	3.198594	33.90625	0.43125	11.82194	0.02295932
0.026	3.199063	33.90625	0.2578125	11.73971	0.02352442
0.027	3.198906	33.90625	0.1085938	11.71229	0.02408952
0.028	3.19875	33.90625	0.0265625	11.79453	0.02465463
0.029	3.198984	33.90625	-0.00546875	11.79453	0.02521973
0.03	3.198984	33.90625	-0.0078125	11.79453	0.02578484
0.031	3.19875	33.90625	-0.02890625	11.79453	0.02634994
0.032	3.199063	33.90625	-0.05	11.84935	0.02691504
