Interval=	0.01 s
ExcelDateTime=	4.5855649139942347e+04	07/17/25 15:34:45.691019
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	Flow BIS	Inspi cyclic	Expi cyclic	L/m -> L/s	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	64.18 L/min	1.1000 	1.1000 	1.07 L/s	1.00 L/s.s
UnitName=	*		*	cmH2O	*	*	*	*	*
TopValue=	*	148.52	*	3523.71	*	*	*	*	*
BottomValue=	*	-163.55	*	-3491.41	*	*	*	*	*
0.5	3.202508	-42.38833	0.6476563	24.43683	-42.38833	1.469056e-08	1.469056e-08	-0.7064721	-0.003620859
0.51	3.202531	-42.37696	0.1035156	24.43413	-42.37696	1.469056e-08	1.469056e-08	-0.7062827	-0.01068442
0.52	3.202563	-42.37696	0.6435937	24.43413	-42.37696	1.469056e-08	1.469056e-08	-0.7062827	-0.01774725
0.53	3.202594	-42.37696	0.08390625	24.43413	-42.37696	1.469056e-08	1.469056e-08	-0.7062827	-0.02481008
0.54	3.202609	-42.37696	0.61125	24.43413	-42.37696	1.469056e-08	1.469056e-08	-0.7062827	-0.0318729
0.55	3.202555	-42.37696	0.06429688	24.43413	-42.37696	1.469056e-08	1.469056e-08	-0.7062827	-0.03893573
0.56	3.202648	-42.37713	0.6015625	24.43417	-42.37713	1.469056e-08	1.469056e-08	-0.7062856	-0.04599856
0.57	3.202602	-42.36401	0.05789062	24.43105	-42.36402	1.469056e-08	1.469056e-08	-0.7060669	-0.0530604
0.58	3.202602	-42.36277	0.58375	24.43075	-42.36277	1.469056e-08	1.469056e-08	-0.7060461	-0.06012087
0.59	3.202523	-42.36277	0.0140625	24.43075	-42.36277	1.469056e-08	1.469056e-08	-0.7060461	-0.06718133
0.6	3.202656	-42.36272	0.5469531	24.43077	-42.36272	1.469056e-08	1.469056e-08	-0.7060454	-0.07424179
0.61	3.202625	-42.36078	0.03015625	24.43165	-42.36078	1.469056e-08	1.469056e-08	-0.7060129	-0.08130229
0.62	3.202625	-42.31836	0.6109375	24.45072	-42.31836	1.469056e-08	1.469056e-08	-0.7053061	-0.08835935
0.63	3.202664	-42.33496	0.1035938	24.44349	-42.33496	1.469056e-08	1.469056e-08	-0.7055826	-0.09541154
0.64	3.202726	-42.50611	0.6433594	24.37269	-42.50611	1.469056e-08	1.469056e-08	-0.7084352	-0.1024809
0.65	3.202641	-42.52297	0.1064844	24.36345	-42.52297	1.469056e-08	1.469056e-08	-0.7087163	-0.1095725
0.66	3.202602	-42.02315	0.6514844	24.56999	-42.02315	1.469056e-08	1.469056e-08	-0.7003858	-0.116623
0.67	3.202695	-41.75683	0.1342188	24.68442	-41.75683	1.469056e-08	1.469056e-08	-0.6959471	-0.1235896
0.68	3.202695	-43.26106	0.6914844	24.05915	-43.26106	1.469056e-08	1.469056e-08	-0.7210176	-0.1306458
0.69	3.202734	-46.74755	0.1392187	22.52774	-46.74755	1.469056e-08	1.469056e-08	-0.7791258	-0.1381349
0.7	3.202719	-50.49868	0.6652344	20.68561	-50.49868	1.469056e-08	1.469056e-08	-0.8416446	-0.1462575
0.71	3.20268	-52.93331	0.1298437	19.12531	-52.93331	1.469056e-08	1.469056e-08	-0.8822219	-0.1549041
0.72	3.202633	-54.02709	0.688125	17.90026	-54.02708	1.469056e-08	1.469056e-08	-0.9004514	-0.1638333
0.73	3.20275	-54.43263	0.1627344	16.82372	-54.43263	1.469056e-08	1.469056e-08	-0.9072105	-0.1728795
0.74	3.202726	-54.33101	0.6957812	15.88565	-54.33101	1.469056e-08	1.469056e-08	-0.9055168	-0.1819501
0.75	3.202664	-53.71277	0.1232813	15.13331	-53.71277	1.469056e-08	1.469056e-08	-0.8952128	-0.1909595
0.76	3.202687	-52.69147	0.6321875	14.57048	-52.69147	1.469056e-08	1.469056e-08	-0.8781911	-0.1998282
0.77	3.202797	-51.46891	0.07265625	14.14861	-51.46891	1.469056e-08	1.469056e-08	-0.8578152	-0.2085079
0.78	3.202758	-50.14084	0.6134375	13.85776	-50.14083	1.469056e-08	1.469056e-08	-0.8356806	-0.2169731
0.79	3.202641	-48.81348	0.075	13.65703	-48.81348	1.469056e-08	1.469056e-08	-0.813558	-0.2252162
0.8	3.20268	-47.54409	0.6074219	13.53106	-47.54409	1.469056e-08	1.469056e-08	-0.7924015	-0.2332421
0.81	3.202766	-46.36904	0.07132813	13.44752	-46.36904	1.469056e-08	1.469056e-08	-0.7728174	-0.2410644
0.82	3.202609	-45.3081	0.6327344	13.39399	-45.3081	1.469056e-08	1.469056e-08	-0.7551349	-0.2487002
0.83	3.202648	-44.35269	0.1164844	13.3511	-44.35269	1.469056e-08	1.469056e-08	-0.7392115	-0.2561687
0.84	3.202672	-43.50191	0.6735156	13.31227	-43.50191	1.469056e-08	1.469056e-08	-0.7250319	-0.2634866
0.85	3.202805	-42.73123	0.1353906	13.26937	-42.73123	1.469056e-08	1.469056e-08	-0.7121871	-0.2706703
0.86	3.202758	-42.03354	0.6685156	13.22055	-42.03354	1.469056e-08	1.469056e-08	-0.7005591	-0.2777315
0.87	3.202609	-41.38605	0.12625	13.16443	-41.38605	1.469056e-08	1.469056e-08	-0.6897676	-0.2846814
0.88	3.202563	-40.78224	0.6582031	13.10163	-40.78224	1.469056e-08	1.469056e-08	-0.6797039	-0.2915267
0.89	3.202672	-40.2069	0.1203125	13.03364	-40.2069	1.469056e-08	1.469056e-08	-0.6701151	-0.2982745
0.9	3.202711	-39.65541	0.6623437	12.96189	-39.65541	1.469056e-08	1.469056e-08	-0.6609235	-0.3049281
0.91	3.202641	-39.12028	0.12875	12.88839	-39.12028	1.469056e-08	1.469056e-08	-0.6520047	-0.3114916
0.92	3.202641	-38.59999	0.6619531	12.81447	-38.59999	1.469056e-08	1.469056e-08	-0.6433332	-0.3179668
0.93	3.202687	-38.0937	0.1092188	12.74163	-38.0937	1.469056e-08	1.469056e-08	-0.6348951	-0.3243569
0.94	3.202703	-37.60171	0.6342969	12.67066	-37.60171	1.469056e-08	1.469056e-08	-0.6266952	-0.3306634
0.95	3.202641	-37.12597	0.08554688	12.60233	-37.12597	1.469056e-08	1.469056e-08	-0.6187661	-0.3368897
0.96	3.202633	-36.66615	0.6150781	12.5368	-36.66615	1.469056e-08	1.469056e-08	-0.6111025	-0.3430376
0.97	3.125133	-36.22417	0.06257812	12.47431	-36.22417	1.469056e-08	1.469056e-08	-0.6037361	-0.3491109
0.98	3.123727	-35.79722	0.5844531	12.41453	-35.79722	1.469056e-08	1.469056e-08	-0.5966203	-0.3551114
0.99	3.062758	-35.38579	0.03945313	12.35744	-35.38579	1.469056e-08	1.469056e-08	-0.5897632	-0.3610424
1	3.202383	-34.98466	0.5979688	12.30235	-34.98466	1.469056e-08	1.469056e-08	-0.5830777	-0.3669055
1.01	3.202633	-34.5939	0.08164063	12.24921	-34.5939	1.469056e-08	1.469056e-08	-0.5765649	-0.3727029
1.02	3.202633	-34.20724	0.6399219	12.1971	-34.20724	1.469056e-08	1.469056e-08	-0.5701207	-0.3784354
1.03	3.202648	-33.82592	0.1024219	12.14609	-33.82592	1.469056e-08	1.469056e-08	-0.5637653	-0.3841041
1.04	3.202687	-33.4443	0.636875	12.09515	-33.4443	1.469056e-08	1.469056e-08	-0.557405	-0.389709
1.05	3.202492	-33.066	0.099375	12.04451	-33.066	1.469056e-08	1.469056e-08	-0.5511	-0.3952508
1.06	3.202656	-32.68656	0.6469531	11.99317	-32.68656	1.469056e-08	1.469056e-08	-0.544776	-0.4007293
1.07	3.202664	-32.31177	0.1215625	11.94162	-32.31178	1.469056e-08	1.469056e-08	-0.5385296	-0.4061451
