Interval=	0.001 s
ExcelDateTime=	4.5847400977275240e+004	09/07/2025 9:37:24.43658
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	1.00 L/s.s
UnitName=	*	L/min	*	cmH2O	*
TopValue=	*	138.18	*	3526.16	*
BottomValue=	*	-135.94	*	-3491.39	*
-0.015	3.200703	-4.305739	-0.2171875	16.07085	-4.485145e-005
-0.014	3.200625	-4.305739	-0.3953125	16.1805	-0.0001166138
-0.013	3.200625	-4.305739	-0.4578125	16.12567	-0.0001883761
-0.012	3.200625	-4.305739	-0.484375	16.1805	-0.0002601384
-0.011	3.200625	-4.305739	-0.4765625	16.1805	-0.0003319007
-0.01	3.200625	-4.305739	-0.3820313	16.1805	-0.000403663
-0.009	3.200625	-4.305739	-0.2265625	16.07085	-0.0004754253
-0.008	3.200859	-4.305739	-0.06015625	16.1805	-0.0005471877
-0.007	3.200703	-4.303528	0.1554688	16.1805	-0.000618927
-0.006	3.200703	-4.303528	0.4	16.1805	-0.0006906524
-0.005	3.200469	-4.303528	0.6164063	16.1805	-0.0007623779
-0.004	3.200469	-4.303528	0.7734375	16.1805	-0.0008341033
-0.003	3.178359	-4.303528	0.8484375	16.09826	-0.0009058288
-0.002	3.198828	-4.303528	0.909375	16.07085	-0.0009775542
-0.001	3.199688	-4.303528	0.8945313	16.23532	-0.00104928
0	2.362656	-4.303528	0.7929688	16.26274	-0.001121005
0.001	2.150234	-4.303528	0.6398438	16.31756	-0.001192731
0.002	2.27125	-4.303528	0.46875	16.37238	-0.001264456
0.003	2.410078	-4.303528	0.2585938	16.1805	-0.001336182
0.004	2.697188	-4.303528	0.0140625	16.15309	-0.001407907
0.005	2.395469	-4.303528	-0.2148438	16.34497	-0.001479633
0.006	2.31375	-4.303528	-0.3820313	16.29015	-0.001551358
0.007	2.376875	-4.303528	-0.4679688	16.3998	-0.001623083
0.008	2.568594	-4.303528	-0.509375	16.48203	-0.001694809
0.009	2.626484	-4.303528	-0.4820313	16.45462	-0.001766534
0.01	3.194844	-4.303528	-0.3804688	16.31756	-0.00183826
0.011	3.199141	-4.303528	-0.2273438	16.29015	-0.001909985
0.012	3.200078	-4.303528	-0.06484375	16.1805	-0.001981711
0.013	3.199922	-4.303528	0.1515625	16.3998	-0.002053436
0.014	3.200234	-4.303528	0.3859375	16.48203	-0.002125162
