block_name,block,n_cycle,t_inspi,t_expi,t_next_inspi
Block 1,1,1,1.9300000000000002,2.41,4.24
Block 1,1,2,4.24,4.72,6.55
Block 1,1,3,6.55,7.02,8.85
Block 1,1,4,8.85,9.33,11.16
Block 1,1,5,11.16,11.64,13.46
Block 1,1,6,13.46,13.94,15.77
Block 1,1,7,15.77,16.25,18.07
Block 1,1,8,18.07,18.55,20.38
Block 1,1,9,20.38,20.85,22.68
Block 1,1,10,22.68,23.16,24.98
Block 1,1,11,24.98,25.46,27.29
Block 1,1,12,27.29,27.77,29.6
Block 1,1,13,29.6,30.07,31.9
Block 1,1,14,31.9,32.38,34.21
Block 1,1,15,34.21,34.68,36.51
Block 1,1,16,36.51,36.99,38.82
Block 1,1,17,38.82,39.3,41.12
Block 1,1,18,41.12,41.6,43.43
Block 1,1,19,43.43,43.91,45.73
Block 1,1,20,45.73,46.21,48.04
Block 1,1,21,48.04,48.52,50.35
Block 1,1,22,50.35,50.82,52.65
Block 1,1,23,52.65,53.13,54.96
Block 1,1,24,54.96,55.43,57.26
