block_name,block,n_cycle,t_inspi,t_expi,PEEP,Ppeak,Pplat,dP,Cstat,R,MAP
Block 1,1,1,1.9300000000000002,2.41,10.46043,49.19904,,38.738609999999994,,,17.512477121212125
Block 1,1,2,4.24,4.72,10.57384,49.02486,,38.45102,,,17.39539865800866
Block 1,1,3,6.55,7.02,10.570075,49.52754,,38.957465,,,17.533357586956523
Block 1,1,4,8.85,9.33,10.556004999999999,49.78465,,39.228645,,,17.498624567099565
Block 1,1,5,11.16,11.64,10.504840000000002,50.21294,,39.7081,,,17.59403563043478
Block 1,1,6,13.46,13.94,10.39763,49.56426,,39.16663,,,17.450109177489182
Block 1,1,7,15.77,16.25,10.33685,49.95122,,39.61437,,,17.553422326086956
Block 1,1,8,18.07,18.55,10.51851,49.67441,,39.1559,,,17.50640060606061
Block 1,1,9,20.38,20.85,10.461120000000001,49.50446,,39.04334,,,17.461270195652173
Block 1,1,10,22.68,23.16,10.541045,49.81935,,39.278305,,,17.523027869565215
Block 1,1,11,24.98,25.46,10.593945,48.9825,,38.388555000000004,,,17.468413722943726
Block 1,1,12,27.29,27.77,10.55172,49.65516,,39.103440000000006,,,17.480323939393937
Block 1,1,13,29.6,30.07,10.50458,49.73225,,39.22767,,,17.476463008695656
Block 1,1,14,31.9,32.38,10.173645,49.64561,,39.471965,,,17.158943441558435
Block 1,1,15,34.21,34.68,10.147124999999999,49.69894,,39.551815000000005,,,17.411796913043485
Block 1,1,16,36.51,36.99,10.31462,49.70399,,39.38937,,,17.450940476190464
Block 1,1,17,38.82,39.3,10.453814999999999,50.08047,,39.626655,,,17.496430347826095
Block 1,1,18,41.12,41.6,10.35669,50.02238,,39.66569,,,17.512677510822506
Block 1,1,19,43.43,43.91,10.524065,50.48659,,39.962525,,,17.603061304347833
Block 1,1,20,45.73,46.21,10.653915000000001,49.65126,,38.997344999999996,,,17.47531367965367
Block 1,1,21,48.04,48.52,10.35616,49.5344,,39.17824,,,17.245208051948048
Block 1,1,22,50.35,50.82,10.471975,49.13348,,38.661505,,,17.392347934782617
Block 1,1,23,52.65,53.13,10.449290000000001,49.76684,,39.31755,,,17.50383456709956
Block 1,1,24,54.96,55.43,10.42718,49.66101,,39.23383,,,17.528898978260877
