n_cycle,t_inspi,t_expi,t_next_inspi
1,1.9300000000000002,2.41,4.24
2,4.24,4.72,6.55
3,6.55,7.02,8.85
4,8.85,9.33,11.16
5,11.16,11.64,13.46
6,13.46,13.94,15.77
7,15.77,16.25,18.07
8,18.07,18.55,20.38
9,20.38,20.85,22.68
10,22.68,23.16,24.98
11,24.98,25.46,27.29
12,27.29,27.77,29.6
13,29.6,30.07,31.9
14,31.9,32.38,34.21
15,34.21,34.68,36.51
16,36.51,36.99,38.82
17,38.82,39.3,41.12
18,41.12,41.6,43.43
19,43.43,43.91,45.73
20,45.73,46.21,48.04
21,48.04,48.52,50.35
22,50.35,50.82,52.65
23,52.65,53.13,54.96
24,54.96,55.43,57.26
