block_name,block,n_cycle,t_inspi,t_expi,Ti,Ttot,Te,BF,VT,VE,PIF,PEF,IE,WOB,PTP
Block 1,1,1,3.59,4.95,1.3600000000000003,3.5600000000000005,2.2,16.85393258426966,0.3248327093055,5.474708583800561,0.3335931,0.270529,0.6181818181818183,,2.4025718683000035
Block 1,1,2,7.15,8.49,1.3399999999999999,3.6599999999999984,2.3199999999999985,16.393442622950825,0.32635081182049985,5.350013308532787,0.3336531,0.2629605,0.577586206896552,,1.9690470741500081
Block 1,1,3,10.809999999999999,12.129999999999999,1.3200000000000003,3.5200000000000014,2.200000000000001,17.04545454545454,0.30698436208595,5.232687990101418,0.3226857,0.255432,0.5999999999999999,,1.6603484143499994
Block 1,1,4,14.33,15.649999999999999,1.3199999999999985,3.679999999999998,2.3599999999999994,16.304347826086964,0.3157599858068999,5.148260638155979,0.3242316,0.2889831,0.5593220338983046,,1.753629766199999
Block 1,1,5,18.009999999999998,19.31,1.3000000000000007,3.740000000000002,2.4400000000000013,16.042780748663095,0.3320725133995,5.327366525125666,0.3467338,0.2922428,0.5327868852459017,,2.1419546905000133
Block 1,1,6,21.75,22.97,1.2199999999999989,3.6999999999999993,2.4800000000000004,16.216216216216218,0.31802180356449994,5.157110328072973,0.3439444,0.2914562,0.4919354838709672,,2.2516332003500024
Block 1,1,7,25.45,26.95,1.5,3.7399999999999984,2.2399999999999984,16.04278074866311,0.3620302873349118,5.8079725240894975,0.332279,0.2859329,0.6696428571428577,,2.0923987278500094
Block 1,1,8,29.189999999999998,30.43,1.240000000000002,3.020000000000003,1.7800000000000011,19.86754966887415,0.269934803585646,5.36294311759561,0.3107997,0.2490703,0.6966292134831468,,2.176645707999997
Block 1,1,9,32.21,33.67,1.4600000000000009,3.5,2.039999999999999,17.142857142857142,0.36053922231811353,6.1806723825962315,0.3488258,0.2848707,0.7156862745098046,,2.8021669401000384
Block 1,1,10,35.71,37.27,1.5600000000000023,3.6799999999999997,2.1199999999999974,16.304347826086957,0.341996907169671,5.576036529940288,0.3268084,0.2958489,0.7358490566037755,,2.5830512120999716
Block 1,1,11,39.39,40.830000000000005,1.4400000000000048,3.460000000000001,2.019999999999996,17.341040462427742,0.34619345647247,6.00335473651682,0.3245763,0.2548542,0.7128712871287166,,2.0093225843999427
